Date,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
2018-03-04,1501141.58,673535.25,263895.18,6341.68,557369.47,449577.44,86867.63,20924.4,conventional,2018,DallasFtWorth
2018-01-21,1584416.56,651432.75,153445.45,10598.32,768940.04,683790.27,85149.77,0,conventional,2018,Houston
2018-01-28,1152539.42,115283.7,805041.45,4257.45,227956.82,225931.13,2019.02,6.67,conventional,2018,BaltimoreWashington
2018-02-04,14456.1,2260.81,2011.22,0,10184.07,10169.69,14.38,0,organic,2018,PhoenixTucson
2018-03-11,3059034.3,1152656.67,373411.39,72380.13,1460586.11,1373991.99,29875.02,56719.1,conventional,2018,LosAngeles
2018-02-25,36432.65,246.73,29263.75,0,6922.17,6908.84,13.33,0,organic,2018,Chicago
2018-03-18,4558888.55,977322.22,1305676.96,24247.96,2251641.41,2062091.77,175886.82,13662.82,conventional,2018,Midsouth
2018-01-14,23826.74,175.52,199.52,5.07,23446.63,23446.63,0,0,organic,2018,HarrisburgScranton
2018-01-07,1287480.31,39884.07,866953.05,573.69,380069.5,348249.49,31820.01,0,conventional,2018,NewYork
2018-01-21,608159.45,76804.75,271528.75,18147.81,241678.14,150749.79,90544.14,384.21,conventional,2018,Portland
2018-02-04,1802646.35,257095.68,1235325.42,158735.41,151489.84,91953.59,59112.77,423.48,conventional,2018,Chicago
2018-03-04,168190.37,13533.32,75344.69,67.47,79244.89,23485.14,55219.75,540,conventional,2018,BuffaloRochester
2018-03-11,13792.54,1966.47,2132.96,0,9693.11,9686.91,6.2,0,organic,2018,LasVegas
2018-01-21,214353.02,75486.73,52395.54,4298.3,82172.45,63261.5,18897.31,13.64,conventional,2018,Columbus
2018-01-28,6134040.58,2254631.8,2185495.65,121090.87,1572822.26,1480527.7,24545.94,67748.62,conventional,2018,California
2018-01-28,8935.85,205.04,1254.73,0,7455.25,4711.37,2743.88,0,organic,2018,Indianapolis
2018-03-25,8210.37,1426.49,2452.5,0,4331.38,3427.78,903.6,0,organic,2018,StLouis
2018-01-21,4824586.17,939693.95,1678615.71,599358.14,1606918.37,1091946.07,411120.89,103851.41,conventional,2018,GreatLakes
2018-01-28,3245.58,1.27,1036.16,0,2208.15,1853.15,355,0,organic,2018,Louisville
2018-02-18,15123.96,963.42,32.46,0,14128.08,14124.75,3.33,0,organic,2018,Pittsburgh
2018-01-28,5680957.63,418911.03,3730287.55,8112.22,1523646.83,1278588.12,242866.49,2192.22,conventional,2018,Northeast
2018-03-04,14156.63,24,760.55,0,13372.08,13328.75,43.33,0,organic,2018,NorthernNewEngland
2018-03-11,298805.55,61233.57,91407.22,8059.72,138105.04,83945.28,53527.54,632.22,conventional,2018,LasVegas
2018-01-28,6610.16,41.96,2301.94,0,4266.26,2704.59,1561.67,0,organic,2018,Nashville
2018-01-07,818086.25,209267.23,466935.74,2525.01,139358.27,136440.18,104.56,2813.53,conventional,2018,SanFrancisco
2018-01-21,38098.21,1450.87,9262.48,65.08,27319.78,27315.34,4.44,0,organic,2018,BaltimoreWashington
2018-01-07,300234.79,96040.45,94172.95,1657.28,108364.11,99730.22,8633.89,0,conventional,2018,RichmondNorfolk
2018-01-28,2533937.56,1387712.4,515698.93,6371.3,624154.93,474701.92,149437.52,15.49,conventional,2018,Plains
2018-02-18,793464.77,150620,425616.86,874.9,216353.01,197949.51,18403.5,0,organic,2018,Northeast
2018-02-11,303827.76,149429.09,10869.53,363.33,143165.81,107936.13,33522.21,1707.47,conventional,2018,Nashville
2018-03-04,15349.03,2467.3,3004.72,0,9877.01,9871.72,5.29,0,organic,2018,PhoenixTucson
2018-03-04,24300.28,5776.81,588.5,10.66,17924.31,17177.3,747.01,0,organic,2018,Denver
2018-01-28,28257.18,3878.22,3721.44,7.64,20649.88,20602.87,47.01,0,organic,2018,Philadelphia
2018-01-07,4230002.92,241291.93,2868985.89,12579.51,1107145.59,769968.02,337149.02,28.55,conventional,2018,Northeast
2018-03-25,35088.36,324.87,27550.29,0,7213.2,7176.54,36.66,0,organic,2018,Chicago
2018-02-25,179220.19,3635.67,46267.02,672.63,128644.87,112039.31,16605.56,0,organic,2018,Midsouth
2018-02-18,1149074.92,193705.48,835774.38,2425.38,117169.68,113216.42,316.78,3636.48,conventional,2018,SanFrancisco
2018-01-28,162674.55,2937.98,86845.82,30069.97,42820.78,31880.77,1661.64,9278.37,conventional,2018,GrandRapids
2018-01-28,566134.81,168171.75,256042.84,16669.82,125250.4,118366.92,4446.82,2436.66,conventional,2018,SanDiego
2018-02-11,22388.13,5261.02,639.37,35.39,16452.35,16367.04,85.31,0,organic,2018,Denver
2018-01-21,18364.37,678.73,5179.83,0,12505.81,2688.54,9817.27,0,organic,2018,CincinnatiDayton
2018-01-07,13141.82,710.55,5212.44,0,7218.83,3380.57,3838.26,0,organic,2018,CincinnatiDayton
2018-01-21,27919.45,13037.67,11998.44,0,2883.34,2883.34,0,0,organic,2018,SanFrancisco
2018-02-11,207658.32,54069.78,44325.77,286.59,108976.18,87195.47,21390.71,390,conventional,2018,Roanoke
2018-02-04,525075.42,119688.78,132891.28,5891.9,266603.46,254234.83,12368.63,0,conventional,2018,RaleighGreensboro
2018-01-28,93625.03,3101.17,74627.23,55.59,15841.04,11614.79,4159.58,66.67,conventional,2018,Albany
2018-03-25,183489.03,97376.71,9226.39,569.02,76316.91,41255.77,34987.81,73.33,conventional,2018,Jacksonville
2018-01-21,7288.58,309.8,119.81,0,6858.97,3581.4,3277.57,0,organic,2018,BuffaloRochester
2018-03-11,486492.24,45869.8,237689.35,297.86,202635.23,177287.22,23394.68,1953.33,conventional,2018,Philadelphia
2018-03-25,19086.94,865.91,10936.47,0,7284.56,7284.56,0,0,organic,2018,SanDiego
2018-01-14,6659.77,86.64,639.81,0,5933.32,5926.66,6.66,0,organic,2018,Orlando
2018-01-07,771313.78,89883.07,466602.79,4167.07,210660.85,189304.53,21356.32,0,conventional,2018,BaltimoreWashington
2018-01-21,310587.46,192632.7,23240.42,2212.37,92501.97,79583.19,11776.55,1142.23,conventional,2018,NewOrleansMobile
2018-02-11,5694136.21,565852.47,3782154.05,14275.87,1331853.82,1134698.11,186733.68,10422.03,conventional,2018,Northeast
2018-03-25,16411.89,956.73,10.91,0,15444.25,15430.91,13.34,0,organic,2018,Pittsburgh
2018-03-11,3953699.57,741349.12,1112605.39,380229.8,1719515.26,1237310.02,410612.84,71592.4,conventional,2018,GreatLakes
2018-02-18,5092.83,310.36,84.43,0,4698.04,2136.41,2561.63,0,organic,2018,Syracuse
2018-02-18,530247.15,131656.46,330556.13,700.57,67333.99,57058.58,3145.98,7129.43,conventional,2018,Sacramento
2018-01-07,713915.8,364463.12,47869.41,1459.65,300123.62,217644.43,78287.66,4191.53,conventional,2018,Atlanta
2018-03-11,897607.12,467501.55,154130.63,11380.26,264594.68,152380.6,110322.16,1891.92,conventional,2018,WestTexNewMexico
2018-01-21,2446.13,41.05,577.32,0,1827.76,284.43,1541.86,1.47,organic,2018,Boise
2018-01-07,21095.12,208.15,312.97,13.01,20560.99,20550.99,10,0,organic,2018,HarrisburgScranton
2018-03-25,483124.53,43595.07,365913.24,1529.8,72086.42,34546.13,36509.18,1031.11,conventional,2018,NorthernNewEngland
2018-02-25,15721.06,213.6,7229.28,0,8278.18,8278.18,0,0,organic,2018,HartfordSpringfield
2018-02-18,101522.07,21211.55,21287.42,197.27,58825.83,33930.79,24059.49,835.55,conventional,2018,Louisville
2018-03-11,17561.89,181.68,4942.56,99.85,12337.8,11957.7,380.1,0,organic,2018,SouthCarolina
2018-02-04,17454.74,1158.41,7388.27,0,8908.06,8908.06,0,0,organic,2018,SanDiego
2018-01-28,7883.77,162.09,272.81,0,7448.87,7448.87,0,0,organic,2018,MiamiFtLauderdale
2018-03-25,469300.74,289527.11,33226.48,1342.31,145204.84,87355.05,57643.12,206.67,conventional,2018,Tampa
2018-02-18,2275.91,72.52,810.01,0,1393.38,725.39,667.99,0,organic,2018,Boise
2018-03-04,178885.9,43252.27,37048.49,245.11,98340.03,73252.51,24594.18,493.34,conventional,2018,Roanoke
2018-01-28,96546.56,9754.12,34513.14,262.76,52016.54,31382,20628.88,5.66,conventional,2018,Louisville
2018-03-11,443295.3,82676.76,65334.67,47721.41,247562.46,178042.93,49942.51,19577.02,conventional,2018,Detroit
2018-01-28,21678.23,2550.43,2656.25,0,16471.55,1006.14,15459.73,5.68,organic,2018,Portland
2018-01-14,44955.89,133.39,31177.44,0,13645.06,13635.06,10,0,organic,2018,Chicago
2018-03-11,72624.66,4912.54,19192.2,7.35,48512.57,37059.78,11452.79,0,organic,2018,Plains
2018-03-18,21352.34,10539.17,797.06,33.21,9982.9,9087.45,895.45,0,organic,2018,Denver
2018-03-25,190257.38,29644.09,70982.1,0,89631.19,89424.11,207.08,0,organic,2018,California
2018-01-07,26188.31,0,551.1,0,25637.21,25633.88,3.33,0,organic,2018,NorthernNewEngland
2018-02-04,28934.01,9.14,2504.27,3.66,26416.94,20660.94,5756,0,organic,2018,Boston
2018-03-04,229905.22,129813.08,12471.8,516.79,87103.55,35609.86,51397.02,96.67,conventional,2018,Jacksonville
2018-03-18,19014.68,626.28,5411.88,0,12976.52,9134.72,3841.8,0,organic,2018,Atlanta
2018-02-18,306966.07,173296.43,24837.13,1962,106870.51,94229.99,12303.85,336.67,conventional,2018,NewOrleansMobile
2018-01-28,73320.15,3345.87,42297.35,62.85,27614.08,5723.16,21890.92,0,conventional,2018,Syracuse
2018-02-25,18023.03,485.27,3316.06,59.58,14162.12,11982.32,2179.8,0,organic,2018,RichmondNorfolk
2018-02-04,28070.22,4977.37,561.14,0,22531.71,22281.2,250.51,0,organic,2018,DallasFtWorth
2018-01-21,257250.2,98471.49,7427.5,582.75,150768.46,123950.8,26817.66,0,conventional,2018,StLouis
2018-01-28,20073.36,738.01,3026.96,0,16298.93,12972.63,3326.3,0,organic,2018,Detroit
2018-02-25,184226.61,67240.38,21907.5,2122.3,92956.43,33977.62,58972.14,6.67,conventional,2018,Pittsburgh
2018-03-18,320320.99,6924.59,101003.84,4.97,212031.79,138687.27,73344.52,0,organic,2018,GreatLakes
2018-01-14,106345.74,1053.73,16596.47,158.66,88536.88,78949.63,9587.25,0,organic,2018,Southeast
2018-03-04,332378.96,190521.47,24646.65,2564,114646.84,97910.59,16489.58,246.67,conventional,2018,NewOrleansMobile
2018-01-07,2553.9,42.6,949.08,0,1562.22,552.06,1010.16,0,organic,2018,Boise
2018-01-07,264448.77,11605.47,35898.69,55.76,216888.85,205469.1,11419.75,0,organic,2018,Northeast
2018-01-07,21286.58,4020.53,454.86,0,16811.19,14157.14,2654.05,0,organic,2018,DallasFtWorth
2018-02-11,14843.93,384.86,3957.78,0,10501.29,7478.35,3022.94,0,organic,2018,Atlanta
2018-02-18,12417.57,22.67,5878.08,232.08,6284.74,5981.3,303.44,0,organic,2018,Charlotte
2018-03-18,299740.63,75911.89,121945.84,200.48,101682.42,98656.62,725.8,2300,conventional,2018,HarrisburgScranton
2018-02-18,5810.43,23.53,2027.68,0,3759.22,3424.33,334.89,0,organic,2018,Nashville
2018-01-21,331324.99,74246.57,80371.21,4657.83,172049.38,165016.97,7031.3,1.11,conventional,2018,Charlotte
2018-03-25,11125.08,533.97,1113.33,0,9477.78,7760.23,1717.55,0,organic,2018,Columbus
2018-03-04,2667104.06,985767.65,371412.09,77531.99,1232392.33,1144956.76,33430.29,54005.28,conventional,2018,LosAngeles
2018-01-07,474305.15,116665.02,133127.64,1132.42,223380.07,164408.65,58738.83,232.59,conventional,2018,Seattle
2018-02-04,96702.5,1589.03,16827.96,118.89,78166.62,72587.74,5578.88,0,organic,2018,Southeast
2018-02-04,46956.84,313.29,32668.25,0,13975.3,13975.3,0,0,organic,2018,Chicago
2018-03-11,22128.42,2162.67,3194.25,8.93,16762.57,16510.32,252.25,0,organic,2018,WestTexNewMexico
2018-01-07,13878.44,1016.81,6.6,0,12855.03,12855.03,0,0,organic,2018,Pittsburgh
2018-01-21,570161.95,87365.29,220100.47,46163.59,216532.6,146574.63,65171.17,4786.8,conventional,2018,Detroit
2018-01-28,367456.05,80917,70055.35,14554.29,201929.41,177720.43,23023.66,1185.32,conventional,2018,Detroit
2018-03-04,11549.64,420.45,893.13,0,10236.06,8935.54,1300.52,0,organic,2018,MiamiFtLauderdale
2018-01-07,4544750.92,2749042.52,402798.53,15351.11,1377558.76,873160.78,483913.55,20484.43,conventional,2018,Southeast
2018-01-21,600669.78,125236.3,202783.51,754.76,271895.21,138209.77,133100.87,584.57,conventional,2018,Seattle
2018-01-07,3788.91,212.72,1413.85,0,2162.34,600,1562.34,0,organic,2018,Spokane
2018-03-18,26967.79,1433.7,7055.03,3.5,18475.56,1880.56,16587.23,7.77,organic,2018,Portland
2018-03-18,15639.44,2130.06,3421.21,0,10088.17,10065.03,23.14,0,organic,2018,PhoenixTucson
2018-01-28,322348.72,93956.4,105608.44,5131.66,117652.22,112705.62,4946.6,0,conventional,2018,RaleighGreensboro
2018-02-11,3803512.06,1000333.25,1266291.36,24733.63,1512153.82,1303270.27,199986.79,8896.76,conventional,2018,Midsouth
2018-01-07,4622.45,4,1207.46,0,3410.99,2226.12,1184.87,0,organic,2018,Louisville
2018-02-18,302077.06,78221.45,101748.26,5439.47,116667.88,108698.13,7969.75,0,conventional,2018,RaleighGreensboro
2018-03-04,289090.98,65788.57,130046.74,150.9,93104.77,82676.57,8658.2,1770,conventional,2018,HarrisburgScranton
2018-03-25,8620.15,111.52,296.6,0,8212.03,8212.03,0,0,organic,2018,MiamiFtLauderdale
2018-03-25,15502.38,728.9,4308.74,0,10464.74,7398.87,3065.87,0,organic,2018,CincinnatiDayton
2018-02-25,794925.31,74465.63,452448.67,131640.53,136370.48,91023.86,44466.75,879.87,conventional,2018,Chicago
2018-03-04,24533.53,676.16,2624.4,0,21232.97,20853.85,379.12,0,organic,2018,Detroit
2018-01-28,170998.81,30070.62,58357.89,0,82570.3,82563.11,7.19,0,organic,2018,California
2018-01-28,800274.4,14384.54,680080.04,2656.9,103152.92,77511.92,25561,80,conventional,2018,Boston
2018-02-04,62817.64,2624.36,15773.81,4.95,44414.52,32571.57,11842.95,0,organic,2018,Plains
2018-01-28,97026.15,11366.1,25056.37,0,60603.68,60596.54,7.14,0,organic,2018,LosAngeles
2018-03-11,141932.83,12839.05,36894.48,0,92199.3,92190.53,8.77,0,organic,2018,LosAngeles
2018-02-04,322673.64,174119.26,7272.61,456.41,140825.36,114234.23,26591.13,0,conventional,2018,StLouis
2018-03-04,6562.68,176.31,1177.74,0,5208.63,2442.22,2766.41,0,organic,2018,Jacksonville
2018-02-18,1544983.15,923293,242108.74,12876.81,366704.6,228817.23,131177.62,6709.75,conventional,2018,PhoenixTucson
2018-01-14,16205.22,1527.63,2981.04,727.01,10969.54,10919.54,50,0,organic,2018,WestTexNewMexico
2018-01-14,950954.6,463945.73,188126.02,11227.47,287655.38,125408.69,162040.02,206.67,conventional,2018,WestTexNewMexico
2018-01-07,241296.05,77536.48,52880.27,15323.48,95555.82,88828.8,6694.44,32.58,conventional,2018,Indianapolis
2018-02-25,230229.94,105794.31,10432.01,350.86,113652.76,83854.53,27860.65,1937.58,conventional,2018,Nashville
2018-01-07,28741.11,22.16,6254.59,225.17,22239.19,22132.06,107.13,0,organic,2018,Charlotte
2018-03-18,730449.69,323507.79,36770,1828.28,368343.62,267740.12,97851.46,2752.04,conventional,2018,Atlanta
2018-03-18,419607.75,61608.19,131261.94,53.54,226684.08,195973.16,30710.92,0,organic,2018,Northeast
2018-03-18,40632.46,6924.19,13914.86,0,19793.41,19760.84,32.57,0,organic,2018,Philadelphia
2018-02-04,335442.41,90305.67,110035.27,12010.66,123090.81,95765.52,25974.12,1351.17,conventional,2018,Indianapolis
2018-02-11,7802.04,2208.31,3192.62,0,2401.11,2401.11,0,0,organic,2018,Sacramento
2018-02-18,65757.32,5423.11,33613.93,74.65,26645.63,16019.89,10625.74,0,conventional,2018,Syracuse
2018-03-11,304701.2,136420.81,11461.07,366.73,156452.59,129994.08,24769.62,1688.89,conventional,2018,Nashville
2018-02-11,723928.38,349354.58,39349.47,1608.23,333616.1,241870.49,89401.42,2344.19,conventional,2018,Atlanta
2018-03-18,179316.2,3930.14,48249.33,720.63,126416.1,109789.25,16626.85,0,organic,2018,Midsouth
2018-03-18,12161.25,335.39,1385.16,0,10440.7,8351.9,2088.8,0,organic,2018,Orlando
2018-02-25,1616898.5,807933.71,231111.57,6306.38,571546.84,477107.45,75376.35,19063.04,conventional,2018,DallasFtWorth
2018-03-11,1324475.69,614152.38,162269.94,4184.08,543869.29,432316.21,110079.75,1473.33,conventional,2018,Houston
2018-01-14,272690.13,14282.25,33534.86,58.59,224814.43,206708.26,18106.17,0,organic,2018,Northeast
2018-03-11,34517.3,1080.28,12488.67,0,20948.35,15617.99,5330.36,0,organic,2018,CincinnatiDayton
2018-01-21,152056.12,3204.14,44350.14,763.49,103738.35,84681.87,19056.48,0,organic,2018,Midsouth
2018-01-21,25108.84,3170.73,3086.95,10.07,18841.09,1279.19,17489.16,72.74,organic,2018,Portland
2018-02-18,1413687.38,87283.86,909950.56,885.94,415567.02,392965.43,20809.09,1792.5,conventional,2018,NewYork
2018-03-18,14027.44,74.54,5983.12,135.09,7834.69,7330.45,504.24,0,organic,2018,RaleighGreensboro
2018-02-18,224395.77,53547.46,75445.39,5423.5,89979.42,85685.59,4293.83,0,conventional,2018,Charlotte
2018-02-11,151057.53,12749.59,74595.11,84.21,63628.62,41236.05,21391.46,1001.11,conventional,2018,BuffaloRochester
2018-03-25,16025.2,163.55,4234.24,81.45,11545.96,9882.44,1663.52,0,organic,2018,SouthCarolina
2018-01-14,117483.82,40292.71,22648.55,1560.23,52982.33,42859.85,10122.48,0,conventional,2018,Pittsburgh
2018-01-14,504269.23,144109.69,299605.5,1249.15,59304.89,52486.47,754.65,6063.77,conventional,2018,Sacramento
2018-02-11,11804.91,72.38,4806.1,140.27,6786.16,6660.68,125.48,0,organic,2018,RaleighGreensboro
2018-02-11,468936.03,98161.81,129399.46,631.78,240742.98,136973.79,103420.83,348.36,conventional,2018,Seattle
2018-02-25,174394.57,41912.44,37321.57,206.18,94954.38,66920.87,27310.18,723.33,conventional,2018,Roanoke
2018-01-07,6860,122.51,161.19,0,6576.3,6528.88,47.42,0,organic,2018,NewOrleansMobile
2018-01-21,181974.98,34411.37,64513.67,0,83049.94,83022.84,27.1,0,organic,2018,California
2018-03-25,132097.87,44126.21,13225.39,1385.77,73360.5,39142.16,34191.67,26.67,conventional,2018,Pittsburgh
2018-02-04,11196.3,628.58,4438.31,0,6129.41,4339.23,1790.18,0,organic,2018,CincinnatiDayton
2018-03-11,288008.65,20619.84,53255.29,151.81,213981.71,185792.45,28189.26,0,organic,2018,Northeast
2018-02-11,38202.17,409.68,26524.51,0,11267.98,11261.31,6.67,0,organic,2018,Chicago
2018-02-18,11078.27,1473.68,1915.56,0,7689.03,7665.64,23.39,0,organic,2018,LasVegas
2018-03-11,185141.54,3659.19,50387.09,836.2,130259.06,119351.93,10907.13,0,organic,2018,Midsouth
2018-03-25,624645.42,281209.4,33187.58,1831.33,308417.11,227944.75,77406.46,3065.9,conventional,2018,Atlanta
2018-02-25,9144.2,206.39,542.89,0,8394.92,7895.92,499,0,organic,2018,Tampa
2018-02-04,202604.34,78189.91,30466.23,2684.22,91263.98,38743.07,52514.24,6.67,conventional,2018,Pittsburgh
2018-03-04,456320.3,93608.78,135422.61,571.39,226717.52,143222.46,83237.67,257.39,conventional,2018,Seattle
2018-01-14,799726.89,91785.6,485963.15,4234.82,217743.32,212956.99,4783,3.33,conventional,2018,BaltimoreWashington
2018-01-21,3510.16,67.15,597.85,6.46,2838.7,2105.56,733.14,0,organic,2018,Jacksonville
2018-01-28,2278728.69,82652.82,1501055.47,745.5,694274.9,675215.26,18491.86,567.78,conventional,2018,NewYork
2018-01-28,200318.01,4791.32,53866.78,0,141507.43,101734.66,39772.77,0,organic,2018,GreatLakes
2018-01-21,4532.08,227.35,1340.5,0,2964.23,745.55,2216.3,2.38,organic,2018,Spokane
2018-01-14,18253,354.81,3471.49,78.62,14348.08,13243.48,1104.6,0,organic,2018,RichmondNorfolk
2018-02-25,28796.94,2777.46,3529.3,0,22490.18,1870.63,20468.87,150.68,organic,2018,Portland
2018-02-11,823086.86,267695.96,405148.34,3199.77,147042.79,144064.49,120.38,2857.92,conventional,2018,SanFrancisco
2018-01-21,407825,101929.83,102790.68,4632.9,198471.59,191459.41,7012.18,0,conventional,2018,RaleighGreensboro
2018-03-25,15372.8,2399.71,3164.8,0,9808.29,9789.7,18.59,0,organic,2018,PhoenixTucson
2018-02-11,8970.66,445.67,1117.03,0,7407.96,7086.27,321.69,0,organic,2018,Columbus
2018-01-07,82637.97,6158.73,19251.81,47.04,57180.39,57180.39,0,0,organic,2018,NewYork
2018-01-14,533150.49,10669.09,393026.08,2533.63,126921.69,81610.31,45311.38,0,conventional,2018,Boston
2018-02-11,174606.68,80260.52,6205.36,372.01,87768.79,67859.82,19908.97,0,conventional,2018,StLouis
2018-03-11,6488605.43,2277437.31,1750118.87,108244.33,2352804.92,2230913.33,41105.34,80786.25,conventional,2018,California
2018-01-21,84994.86,3424.37,55184.65,81.92,26303.92,11894.14,14409.78,0,conventional,2018,Syracuse
2018-03-25,382746.42,76054.73,122475.03,6496.13,177720.53,75499.86,101806.23,414.44,conventional,2018,LasVegas
2018-02-11,435384.45,123642.25,73381.42,26265.23,212095.55,156008.05,42872.58,13214.92,conventional,2018,Detroit
2018-01-21,349565.06,2991.23,143928.98,137321.51,65323.34,23516.4,1183.72,40623.22,conventional,2018,GrandRapids
2018-03-18,365038.23,82914.3,97133,1515.48,183475.45,169506.35,12586.56,1382.54,conventional,2018,RichmondNorfolk
2018-01-14,387588.47,258150.99,26672.33,1199.66,101565.49,68412.96,33152.53,0,conventional,2018,Orlando
2018-02-18,9239.49,290.98,188.28,0,8760.23,8156.67,603.56,0,organic,2018,NewOrleansMobile
2018-02-11,834304.52,23220.89,703749.06,6620.69,100713.88,86124.35,13366.2,1223.33,conventional,2018,Boston
2018-03-04,46026.58,1107.05,35255.03,0,9664.5,9654.5,10,0,organic,2018,Chicago
2018-02-11,18517.54,1101.05,8243.72,0,9172.77,9172.77,0,0,organic,2018,SanDiego
2018-02-11,3817.93,59.18,289.85,0,3468.9,3468.9,0,0,organic,2018,Albany
2018-01-07,963849.75,184830.15,292349.16,14102.19,472568.25,112396.9,360171.35,0,conventional,2018,Denver
2018-03-11,20504.66,393.48,267.87,22.22,19821.09,19811.09,10,0,organic,2018,HarrisburgScranton
2018-02-18,447962.28,152250.41,119244.74,18614.87,157852.26,147616.58,7409.57,2826.11,conventional,2018,SanDiego
2018-01-21,825835.92,592863.38,79364.06,1920.89,151687.59,84785.47,66902.12,0,conventional,2018,MiamiFtLauderdale
2018-02-18,75418.33,13696.39,42602.91,16.97,19102.06,19085.96,16.1,0,organic,2018,Philadelphia
2018-01-14,4198992.14,2371136.88,403224.01,17012.38,1407618.87,845928.49,540110.99,21579.39,conventional,2018,Southeast
2018-03-18,2550.59,89.14,898.36,0,1563.09,287.9,1258.17,17.02,organic,2018,Boise
2018-02-25,490292.38,55979.65,235447.72,314.32,198550.69,173945.98,22558.04,2046.67,conventional,2018,Philadelphia
2018-03-11,6621293.03,3309218.1,926223.64,28752.6,2357098.69,1820819.54,472662.31,63616.84,conventional,2018,SouthCentral
2018-02-11,1490711.97,793896.21,256987.03,12607.4,427221.33,241681.63,179607.48,5932.22,conventional,2018,PhoenixTucson
2018-02-04,411160.94,86708.74,99117.46,6476.93,218857.81,208289.93,10567.88,0,conventional,2018,Charlotte
2018-02-25,4720.69,269.06,1496.26,0,2955.37,747.5,2207.87,0,organic,2018,Spokane
2018-03-11,324172.31,7730.19,117026.23,0,199137.6,158988.83,40148.77,0,organic,2018,GreatLakes
2018-02-25,10302.5,1407.85,1898.15,0,6996.5,6957.59,38.91,0,organic,2018,LasVegas
2018-01-21,215742.94,11683.16,26922.85,162.73,176974.2,167900.81,9073.39,0,organic,2018,Northeast
2018-03-18,4573.23,0,1367.86,0,3205.37,1470.9,1734.47,0,organic,2018,Louisville
2018-02-18,88854.41,9009.79,35316.2,0,44528.42,44519.43,8.99,0,organic,2018,LosAngeles
2018-03-11,830421.03,95041.64,454041.33,142564.1,138773.96,100438.58,37184.96,1150.42,conventional,2018,Chicago
2018-01-21,2135242.76,46444.43,1642533.16,1165.1,445100.07,423570.05,21523.99,6.03,conventional,2018,NewYork
2018-01-14,63884.71,4071.65,16536.4,2.44,43274.22,29216.82,14057.4,0,organic,2018,Plains
2018-01-21,1315329.83,613600.56,246703.53,13332.26,441693.48,210780.39,226079.75,4833.34,conventional,2018,PhoenixTucson
2018-01-28,158637.92,8099.96,76070.49,96.23,74371.24,12060.74,62156.06,154.44,conventional,2018,BuffaloRochester
2018-01-28,13888.04,1191.7,3431.5,0,9264.84,8940.04,324.8,0,organic,2018,WestTexNewMexico
2018-02-18,743979.81,159850.99,197244.92,12929.9,373954,126126.99,247827.01,0,conventional,2018,Denver
2018-02-04,4561.62,277.76,1722.99,0,2560.87,593.4,1948.18,19.29,organic,2018,Spokane
2018-03-25,8024.7,275.67,94.25,0,7654.78,7288.89,365.89,0,organic,2018,NewOrleansMobile
2018-02-25,2115879.93,879720.97,527659.45,9044.15,699455.36,641489.04,57064.05,902.27,conventional,2018,Plains
